bdb_cid,smiles,mw,alogp,tpsa,hbd,hba,rotb,rings,arom_rings,fsp3,formal_charge,heavy_atoms,globularity_proxy,scaffold
2052,CC(C)CC(C(=O)NCC(=O)NC(CCCCN)C(=O)O)NC(=O)C(C)NC(=O)C(CCC(=O)N)NC(=O)C(C(C)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CO)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC(=O)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC4=CC=CC=C4)NC(=O)C(C(C)O)NC(=O)C(CO)NC(=O)C(CC(C)C)NC(=O)C(CO)NC(=O)CNC(=O)C(CO)N,2364.6566,-9.1042,1002.7000000000002,30,30,100,4,4,0.5462962962962963,0,168,0.14285714285714285,O=C(CNC(=O)CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)CCc1ccccc1)NCCc1ccccc1
2053,C1=C[N+](=CN1CCCCC(C(=O)O)N)CCCCC(C(=O)O)N,327.3993,-0.1464,135.45,0,0,12,1,1,0.6666666666666666,1,23,0.21739130434782608,c1c[nH+]c[nH]1
2054,C(CCN)CC(C(=O)O)NCC(=O)O,204.2236,-0.8986,112.65000000000002,0,0,8,0,0,0.75,0,14,0.0,
2074,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=CC=C(C=C3)O)C,340.3698,4.1543,86.99000000000001,3,5,3,3,2,0.25,0,25,0.64,O=C1CC(c2ccccc2)Oc2ccccc21
2076,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=CC=C(C=C3)O)O)C,354.3533,4.655,111.13000000000001,4,6,3,3,3,0.15,0,26,0.6153846153846154,O=c1cc(-c2ccccc2)oc2ccccc12
2085,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.5202,3.3619,220.75999999999996,10,12,3,6,4,0.2,0,42,0.7619047619047619,c1ccc(C2CC(c3cccc4c3OC(c3ccccc3)CC4)c3ccccc3O2)cc1
2086,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,578.5202,3.3619,220.75999999999996,10,12,3,6,4,0.2,0,42,0.7619047619047619,c1ccc(C2CC(c3cccc4c3OC(c3ccccc3)CC4)c3ccccc3O2)cc1
2107,COC1=CC2=C(C=C1)C=CC(=O)O2,176.1687,1.9951,39.44,0,3,1,2,2,0.1,0,13,0.7692307692307693,O=c1ccc2ccccc2o1
2110,COC1=C(C=CC(=C1)C(=O)O)O,168.1467,1.1506,66.76,1,2,2,1,1,0.125,0,12,0.5,c1ccccc1
2112,C1=CC(=C(C=C1C(=O)O)O)O,154.1201,0.8996,77.76,2,2,1,1,1,0.0,0,11,0.5454545454545454,c1ccccc1
2115,COC1=C(C=CC(=C1)C=CC(=O)O)O,194.184,1.5117,66.76,1,2,3,1,1,0.1,0,14,0.42857142857142855,c1ccccc1
2142,CC1C2C(CC(=C3C(C2OC1=O)C(=CC3=O)CO)C)OC(=O)CC4=CC=C(C=C4)O,412.4325,2.0163,110.13000000000001,2,7,5,4,1,0.43478260869565216,0,30,0.6333333333333333,O=C(Cc1ccccc1)OC1CC=C2C(=O)C=CC2C2OC(=O)CC12
2180,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,285.3377,2.7582,38.77,0,3,4,3,1,0.35294117647058826,0,21,0.7142857142857143,O=C(C=CC=Cc1ccc2c(c1)OCO2)N1CCCCC1
2181,CC1=C2C(=O)C=C(CO)[C@@H]2[C@H]2OC(=O)C(C)[C@@H]2[C@@H](O)C1,278.3004,0.2055,83.83,2,5,1,3,0,0.6,0,20,0.65,O=C1C[C@@H]2CCC=C3C(=O)C=C[C@@H]3[C@H]2O1
