"cID","rID","RefID","Classification","THRmicroM","EC50Str","EC50mM","EC50microM","Efficacy_str","Efficacy","Efficacy_microM","Concentration_used","SequenceVariant"
"954","2135","987","bitter","200","0.0223 ? 0.0003 mM","0.02","22.3","0.20 ? 0.05","0.2","200",,
"956","2117","987","bitter","220","4.9 ? 1.7 mM","4.9","4900","0.22 ? 0.09","0.2","220",,
"956","2105","987","bitter","130",,,,"0.13 ? 0.03","0.1","130",,
"956","2109","987","bitter","60",,,,"0.06 ? 0.02","0.0","60",,
"956","2115","987","bitter","560",,,,"0.56 ? 0.17","0.5","560",,
"956","2123","987","bitter","70",,,,"0.07 ? 0.02","0.0","70",,
"956","2139","987","bitter","130",,,,"0.13 ? 0.07","0.1","130",,
"956","2144","987","bitter","100",,,,"0.10 ? 0.04","0.1","100",,
"956","1","987","bitter",,,,,,,,"30 mM",
"956","4","987","bitter",,,,,,,,"30 mM",
"956","5","987","bitter",,,,,,,,"30 mM",
"956","7","987","bitter",,,,,,,,"30 mM",
"956","8","987","bitter",,,,,,,,"30 mM",
"956","10","987","bitter",,,,,,,,"30 mM",
"956","39","987","bitter",,,,,,,,"30 mM",
"956","41","987","bitter",,,,,,,,"30 mM",
"956","46","987","bitter",,,,,,,,"30 mM",
"957","14","987","bitter",,,,,,,,"0.0033 mM",
"957","2105","987","bitter","160",,,,"0.16 ? 0.04","0.1","160",,
"957","2121","987","bitter","100",,,,"0.10 ? 0.05","0.1","100",,
"958","2121","987","bitter","80",,,,"0.08 ? 0.01","0.0","80",,
"958","2135","987","bitter","50",,,,"0.05 ? 0.02","0.0","50",,
"958","2138","987","bitter","110",,,,"0.11 ? 0.05","0.1","110",,
"959","2105","987","bitter","270",,,,"0.27 ? 0.08","0.2","270",,
"958","14","987","bitter",,,,,,,,"0.1 mM",
"958","38","987","bitter",,,,,,,,"0.1 mM",
"963","46","987","bitter",,,,,,,,"0.01 mM",
"964","1","987","bitter",,,,,,,,"0.03 mM",
"969","14","987","bitter",,,,,,,,"0.03 mM",
"969","2105","987","bitter","570",,,,"0.57 ? 0.07","0.5","570","0.03 mM",
"970","2144","987","bitter","110",,,,"0.11 ? 0.04","0.1","110",,
"972","46","987","bitter","1000.0",,,,,,"1000.0","1 mM",
"972","2105","987","bitter","100",,,,"0.10 ? 0.06","0.1","100",,
"972","2144","987","bitter","60",,,,"0.06 ? 0.02","0.0","60",,
"973","2105","987","bitter","60",,,,"0.06 ? 0.01","0.0","60",,
"973","2113","987","bitter","400",,,,"0.4 ? 0.06","0.4","400",,
"974","2105","987","bitter","50",,,,"0.05 ? 0.01","0.0","50",,
"975","2109","987","bitter","70",,,,"0.07 ? 0.03","0.0","70",,
"975","2110","987","bitter","130",,,,"0.13 ? 0.10","0.1","130",,
"975","2123","987","bitter","120",,,,"0.12 ? 0.05","0.1","120",,
"977","2117","987","bitter","140.0",,,,"0.14 ? 0.05","0.1","140.0",,
"977","2123","987","bitter","80.0",,,,"0.08 ? 0.01","0.0","80.0",,
"977","2144","987","bitter","150.0",,,,"0.15 ? 0.02","0.1","150.0",,
"1187","46","816","bitter","3",,,,,,,,
"1195","46","816","bitter","0.03 ?M",,,,,,,,
"976","46","816","bitter","30.0",,,,,,,,
"976","2105","987","bitter","90.0",,,,"0.09 ? 0.04",,"90.0",,
"1198","46","816","bitter","3 ?M",,,,,,,,
"131","46","816","bitter","100.0",,,,,,,,
"1250","7","1028","bitter","6 ","0.0126","0.01","12.6",,,,,
"1250","7","1032","bitter","6 ","0.0126","0.01","12.6",,,,,
"1286","16","1040","bitter","400","1 mM","1","1000",,,,,
"1287","16","1040","bitter","15000",,,,,,,,
"1290","16","1040","bitter","1500",,,,,,,,
"56","39","68","Bitter","1000.0",,,,,,,,"AAM19321.1"
"58","46","68","Bitter","10.0",,,,,,,,"AAM19318.1"
"61","40","68","Bitter","30.0",,,,,,,,
"840","44","815","Bitter",,,,,,,,,
"840","38","815","Bitter","100",,,,,,,,
"89","46","816","Bitter","30.0","70.0 ? 5.2 ?M","0.07","70.0",,,,,
"100","46","816","Bitter",,"0.43 ? 0.02 ?M","0.00","0.43",,,,,
"463","46","816","Bitter",,"3 microM","0.00","3",,,,,
"747","46","816","Bitter",,"10 microM","0.01","10",,,,,
"931","46","816","Bitter",,"30 microM","0.03","30",,,,,
"36","2105","987","Bitter","1.0",,,,"0.28 ? 0.08",,,,
"38","2105","987","Bitter","10",,,,"0.07 ? 0.04",,,,
"38","2138","987","Bitter","10",,,,"0.08 ? 0.02",,,,
